playerID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,PA,BA,OBP,SLG
aardsda01,331,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5,0,0,0
aaronha01,3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,32,21,121,328,13940,0.304998382,0.37338594,0.554513103
aaronto01,437,944,102,216,42,6,13,94,9,8,86,145,3,0,9,6,36,1045,0.228813559,0.288995215,0.327330508
aasedo01,448,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0
abadan01,15,21,1,2,0,0,0,0,0,1,4,5,0,0,0,0,1,25,0.095238095,0.24,0.095238095
abadfe01,406,9,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,9,0.111111111,0.111111111,0.111111111
abadijo01,12,49,4,11,0,0,0,5,1,0,0,3,0,0,0,0,0,49,0.224489796,0.224489796,0.224489796
abbated01,855,3044,355,772,99,43,11,324,142,0,289,283,0,33,93,0,0,3459,0.253613666,0.31627638,0.325229961
abbeybe01,79,225,21,38,3,3,0,17,3,0,21,54,0,0,6,0,0,252,0.168888889,0.234126984,0.208888889
abbeych01,452,1756,307,493,67,46,19,280,93,0,167,122,0,23,19,0,0,1965,0.280751708,0.347582697,0.403758542
abbotan01,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
abbotco01,46,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0.333333333,0.333333333,0.333333333
abbotda01,3,7,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,7,0.142857143,0.142857143,0.428571429
abbotfr01,160,513,48,107,21,6,1,49,14,0,19,75,0,8,20,0,0,560,0.208576998,0.239285714,0.278752437
abbotgl01,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
abbotje01,233,596,82,157,33,2,18,83,6,5,38,91,2,3,5,7,12,649,0.263422819,0.305084746,0.416107383
abbotji01,263,21,0,2,0,0,0,3,0,0,0,10,0,0,3,0,0,24,0.095238095,0.083333333,0.095238095
abbotji02,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
abbotku01,702,2044,273,523,109,23,62,242,22,11,133,571,11,17,21,12,37,2227,0.255870841,0.302200269,0.422700587
abbotky01,57,31,2,3,1,0,0,2,0,0,1,19,0,0,6,0,0,38,0.096774194,0.105263158,0.129032258
abbotod01,22,70,2,13,2,1,0,6,3,0,6,20,0,0,6,0,0,82,0.185714286,0.231707317,0.242857143
abbotpa01,162,20,2,5,1,0,0,2,0,0,0,6,0,0,5,0,0,25,0.25,0.2,0.3
abelmi01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
aberal01,168,100,5,14,0,0,0,6,0,0,8,41,0,0,8,1,2,117,0.14,0.188034188,0.14
abercda01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
abercre01,180,386,65,86,20,2,9,34,18,8,21,123,2,7,5,2,3,421,0.222797927,0.270783848,0.35492228
abernbi01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
abernbr01,232,868,97,212,36,5,8,79,21,7,60,93,1,7,16,4,15,955,0.244239631,0.292146597,0.324884793
abernro01,32,115,15,30,3,0,0,14,1,0,12,0,0,2,1,0,0,130,0.260869565,0.338461538,0.286956522
abernte01,7,5,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,6,0.2,0.333333333,0.2
abernte02,681,181,12,25,3,0,0,9,0,0,6,74,0,2,15,0,4,204,0.138121547,0.161764706,0.154696133
abernwo01,16,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0
