,playerID,W,L,ERA,G,GS,GF,CG,SHO,SV,IPouts,H,R,ER,HR,BB,IBB,SO,HBP,BK,IP,WLpercentage
1,aardsda01,16,18,46.75,331,0,141,0,0,69,1011,296,169,160,41,183,22,340,16,1,337,0.470588235
2,aasedo01,66,60,45.41,448,91,235,22,5,82,3328,1085,503,468,89,457,45,641,7,3,1109.333333,0.523809524
3,abadfe01,9,29,50.67,406,6,103,0,0,2,1064,343,158,149,45,126,11,292,12,2,354.6666667,0.236842105
4,abbeybe01,22,40,28.07,79,65,14,52,0,1,1704,686,442,285,18,192,0,161,26,0,568,0.35483871
5,abbeych01,0,0,4.5,1,0,1,0,0,0,6,6,3,1,0,0,0,0,0,0,2,NA
6,abbotan01,28,23,10.46,75,75,0,1,1,0,1241,375,167,157,60,139,1,383,6,1,413.6666667,0.549019608
7,abbotco01,1,7,18.64,45,10,19,0,0,0,314,112,74,70,28,55,0,97,9,1,104.6666667,0.125
8,abbotda01,0,2,6.23,3,1,2,1,0,1,39,19,14,9,0,8,0,1,1,0,13,0
9,abbotgl01,62,83,51.98,248,206,13,37,5,0,3858,1405,707,627,162,352,28,484,32,5,1286,0.427586207
10,abbotji01,87,108,49.46,263,254,5,31,6,0,5022,1779,880,791,154,620,30,888,32,11,1674,0.446153846
11,abbotji02,0,1,20.25,1,1,0,0,0,0,4,3,4,3,0,2,0,0,0,0,1.333333333,0
12,abbotky01,4,17,33.77,57,22,4,0,0,0,556,207,112,107,26,79,0,124,2,3,185.3333333,0.19047619
13,abbotpa01,43,37,66.14,162,112,17,1,0,0,2162,682,421,394,101,393,17,496,21,0,720.6666667,0.5375
14,abelmi01,3,4,13.4,10,8,1,0,0,0,117,43,28,27,8,16,0,39,1,0,39,0.428571429
15,aberal01,24,25,43.55,168,30,76,7,0,14,1168,398,205,181,29,160,10,169,6,0,389.3333333,0.489795918
16,abernbi01,0,0,13.5,1,0,1,0,0,1,6,4,3,3,1,1,0,0,0,0,2,NA
17,abernte01,0,3,26.02,7,2,3,1,0,0,61,31,26,25,0,17,0,13,0,0,20.33333333,0
18,abernte02,63,69,67.41,681,34,416,7,2,148,3443,1010,513,441,70,592,80,765,45,3,1147.666667,0.477272727
19,abernwo01,1,1,12.38,16,1,6,0,0,1,126,36,19,17,5,11,0,6,0,0,42,0.5
20,ablesha01,1,5,15.76,14,8,6,4,0,0,214,79,51,32,1,30,0,41,1,1,71.33333333,0.166666667
21,abnerph01,0,0,4.91,5,0,0,0,0,0,11,5,2,2,0,3,0,5,0,0,3.666666667,NA
22,abramge01,0,0,9.64,3,0,1,0,0,0,14,10,5,5,0,3,0,1,0,0,4.666666667,NA
23,abregjo01,1,1,6.38,6,5,0,0,0,0,72,32,18,17,3,12,1,13,0,0,24,0.5
24,abreual01,6,5,40.56,108,0,45,0,0,1,407,118,79,69,23,78,2,136,13,1,135.6666667,0.545454545
25,abreubr01,16,12,18.56,317,0,62,0,0,16,989,239,107,97,25,148,0,448,22,1,329.6666667,0.571428571
26,abreuju01,0,0,2.7,7,0,2,0,0,0,20,6,2,2,1,3,0,12,5,0,6.666666667,NA
27,abreuwi01,0,1,41.65,38,0,6,0,0,0,133,57,39,36,10,19,2,38,2,1,44.33333333,0
28,accarje01,10,20,53.49,262,0,115,0,0,38,854,288,143,136,24,111,16,205,9,2,284.6666667,0.333333333
29,aceveal01,31,16,28.29,204,15,91,0,0,29,1141,333,172,162,48,129,6,282,28,6,380.3333333,0.659574468
30,acevedo01,4,4,17.21,89,0,20,0,0,4,264,75,41,40,14,23,5,74,4,1,88,0.5
31,acevejo01,18,25,27.75,104,59,11,1,0,1,1105,420,246,235,71,113,14,253,12,2,368.3333333,0.418604651
32,aceveju01,28,40,45.08,367,34,165,0,0,53,1710,597,316,274,72,226,34,350,28,4,570,0.411764706
33,achteaj01,2,1,13.13,45,0,22,0,0,0,186,69,30,27,13,21,2,33,1,0,62,0.666666667
34,ackerji01,33,49,47.52,467,32,159,0,0,30,2713,918,447,399,82,329,40,482,32,2,904.3333333,0.402439024
35,ackerto01,19,13,16.01,153,23,35,5,1,8,1141,365,181,174,43,150,20,256,17,0,380.3333333,0.59375
36,acklefr01,1,0,10.61,5,4,1,0,0,0,58,17,10,9,4,11,0,17,0,0,19.33333333,1
37,acostcy01,13,9,13.76,107,0,74,0,0,27,558,143,65,55,15,77,8,109,12,1,186,0.590909091
38,acosted01,6,9,20.69,57,8,22,3,1,1,413,153,71,62,12,39,8,70,4,2,137.6666667,0.4
39,acostjo01,10,10,16.79,55,13,28,6,1,4,640,265,119,107,9,68,0,45,0,0,213.3333333,0.5
40,acostma01,13,13,23.05,233,0,78,0,0,9,744,234,122,110,30,117,10,219,8,0,248,0.5
41,acrema01,9,6,20.98,114,0,32,0,0,2,381,135,75,73,16,68,9,98,5,1,127,0.6
42,actonga01,0,0,12.71,7,0,4,0,0,0,20,9,8,8,3,7,2,5,1,0,6.666666667,NA
43,adamja01,27,15,28.2,341,0,77,0,0,24,1005,220,115,100,34,124,11,390,33,4,335,0.642857143
44,adamsac01,41,33,34.03,302,7,218,2,0,49,1658,541,247,213,26,224,0,171,8,0,552.6666667,0.554054054
45,adamsau01,2,0,44.62,68,0,30,0,0,1,226,91,57,54,12,34,2,58,0,0,75.33333333,1
46,adamsau02,7,7,34.6,188,2,32,0,0,0,467,110,80,71,11,98,4,223,44,0,155.6666667,0.5
47,adamsba01,194,140,70.94,482,355,89,206,44,15,8986,2841,1129,917,68,430,0,1036,47,2,2995.333333,0.580838323
48,adamsbo01,0,0,7.94,2,0,2,0,0,0,17,10,5,5,1,3,0,1,0,0,5.666666667,NA
49,adamsbo02,0,1,10.5,5,1,3,0,0,0,36,21,11,7,0,3,0,5,0,0,12,0
50,adamsch01,1,2,24.92,22,1,7,0,0,1,125,62,41,39,11,15,0,33,2,1,41.66666667,0.333333333
51,adamsda01,4,11,8.14,47,16,24,6,0,3,513,182,87,71,5,65,0,54,8,0,171,0.266666667
52,adamsem01,28,25,70.35,89,58,19,26,5,1,1318,453,281,223,30,191,1,192,15,1,439.3333333,0.528301887
53,adamsjo01,0,0,9,1,0,1,0,0,0,12,9,6,4,0,2,0,0,1,0,4,NA
54,adamsjo02,5,6,19.12,44,11,4,0,0,0,331,121,66,60,19,37,0,77,9,1,110.3333333,0.454545455
55,adamska01,1,9,13.71,30,12,14,3,0,0,345,119,72,64,5,48,0,62,2,0,115,0.1
56,adamsmi01,0,4,22.27,11,4,2,0,0,0,76,28,22,21,3,22,2,14,0,1,25.33333333,0
57,adamsmi03,21,20,35.99,408,0,60,0,0,4,1222,316,122,109,33,126,12,409,6,0,407.3333333,0.512195122
58,adamsre01,0,1,8.25,8,0,4,0,0,0,36,18,12,11,1,7,0,8,0,0,12,0
59,adamsri01,2,5,3.59,11,6,5,3,1,0,188,63,30,25,1,24,0,25,8,0,62.66666667,0.285714286
60,adamste01,51,62,60.07,574,41,201,0,0,42,2608,890,448,403,63,380,33,691,17,6,869.3333333,0.451327434
61,adamstr01,1,4,7.49,18,2,3,0,0,0,101,39,29,28,6,17,0,31,3,0,33.66666667,0.2
62,adamswi01,8,16,25.9,65,21,30,8,0,2,853,303,172,138,8,144,0,74,19,0,284.3333333,0.333333333
63,adamswi02,6,9,12.19,25,24,0,1,1,0,404,149,92,87,20,55,5,105,9,0,134.6666667,0.4
64,adcocna01,2,6,17.46,56,5,14,0,0,1,369,126,64,57,14,56,5,80,7,1,123,0.25
65,adcocty01,0,0,20.99,18,0,6,0,0,0,69,20,15,14,9,4,0,19,0,0,23,NA
66,adenhni01,1,0,9,4,4,0,0,0,0,54,25,12,12,0,16,0,9,0,0,18,1
67,adkinde01,2,4,18.24,38,6,19,1,0,0,297,114,69,62,10,50,0,47,0,0,99,0.333333333
68,adkindo01,1,1,11.76,6,3,3,1,0,1,81,40,28,15,2,12,0,3,1,0,27,0.5
69,adkingr01,12,27,9.06,67,42,18,19,0,1,1089,403,211,175,24,156,0,78,7,0,363,0.307692308
70,adkinjo01,5,5,24.54,119,0,40,0,0,0,416,155,75,70,18,54,10,81,5,0,138.6666667,0.5
71,adkinst01,1,2,6.38,5,5,0,0,0,0,72,19,18,17,4,29,0,14,0,0,24,0.333333333
72,adlemti01,9,15,9.52,43,33,4,0,0,0,576,188,111,106,42,71,2,155,11,1,192,0.375
73,adonjo01,3,16,23.68,35,26,7,0,0,0,397,154,100,98,19,70,4,118,11,0,132.3333333,0.157894737
74,adriaeh01,0,0,36,3,0,3,0,0,0,9,6,4,4,1,1,0,2,1,0,3,NA
75,affelje01,43,46,61.52,774,42,162,0,0,28,2778,904,455,408,76,396,41,720,42,9,926,0.483146067
76,agnosza01,1,3,6.61,30,0,14,0,0,4,94,31,25,23,5,17,0,19,0,0,31.33333333,0.25
77,agostju01,40,33,85.15,543,2,198,0,0,29,1879,639,313,279,30,248,47,307,30,7,626.3333333,0.547945205
78,agrazda01,4,5,4.91,15,14,0,0,0,0,220,82,43,40,15,18,0,41,10,0,73.33333333,0.444444444
79,aguiaju01,2,1,6.25,7,7,0,0,0,0,95,30,22,22,8,12,1,19,5,0,31.66666667,0.666666667
80,aguilmi01,1,1,6.43,9,0,2,0,0,0,21,6,6,5,0,4,1,3,0,0,7,0.5
81,aguilri01,86,81,66.43,732,89,557,10,0,318,3874,1233,568,512,138,351,42,1030,36,10,1291.333333,0.51497006
82,aguirha01,75,72,51.39,447,149,124,44,9,33,4127,1216,562,496,123,479,35,856,47,9,1375.666667,0.510204082
83,ahearpa01,0,2,11.7,4,3,0,0,0,0,30,20,13,13,2,5,1,4,0,0,10,0
84,ainsmed01,0,0,54,1,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0.333333333,NA
85,ainswku01,6,8,40.67,29,22,4,0,0,0,380,136,78,73,16,61,0,90,8,0,126.6666667,0.428571429
86,aitchra01,12,12,7.62,34,22,8,10,3,0,619,193,98,69,7,67,0,101,5,0,206.3333333,0.5
87,akerfda01,9,10,25.8,125,13,33,1,0,3,701,216,146,132,36,127,16,129,13,1,233.6666667,0.473684211
88,akerja01,47,45,53.96,495,0,321,0,0,123,2238,679,312,272,64,274,68,404,40,0,746,0.510869565
89,akersje01,1,1,4.87,5,1,3,0,0,0,61,24,17,11,1,15,0,11,2,0,20.33333333,0.5
90,akinke01,16,22,27.97,231,28,57,0,0,11,1104,350,203,183,51,129,6,377,7,2,368,0.421052632
91,alanirj01,1,0,29.03,15,0,4,0,0,0,55,20,18,17,4,10,0,16,1,1,18.33333333,1
92,albagi01,0,0,2.7,3,0,1,0,0,0,10,1,2,1,0,2,0,3,0,0,3.333333333,NA
93,albaljo01,6,3,24.04,66,0,13,0,0,0,230,77,40,37,10,32,3,56,7,1,76.66666667,0.666666667
94,albanjo01,0,0,4.5,6,0,6,0,0,0,18,8,3,3,1,2,0,3,0,0,6,NA
95,alberan01,8,8,24.34,31,21,7,1,1,1,419,159,89,71,27,34,1,91,5,2,139.6666667,0.5
96,albercy01,1,2,6.18,4,3,1,2,0,0,83,35,22,19,1,20,0,10,0,0,27.66666667,0.333333333
