playerID,primary_pos,,,,,,
aardsda01,P,,,,,canoro01,2B
aaronha01,OF,,,,,renteed01,SS
aaronto01,1B,,,,,ramired01,P
aasedo01,P,,,,,fernato01,SS
abadan01,1B,,,,,martivi01,C
abadfe01,P,,,,,cedence01,OF
abadijo01,1B,,,,,gonzaad01,1B
abbated01,2B,,,,,ordonma01,OF
abbeybe01,P,,,,,stantmi03,OF
abbeych01,OF,,,,,gonzaju03,OF
abbotan01,P,,,,,ramirha01,SS
abbotco01,P,,,,,ramirjo01,3B
abbotda01,P,,,,,vanslan01,OF
abbotfr01,C,,,,,tovarce01,OF
abbotgl01,P,,,,,drewjd01,OF
abbotje01,OF,,,,,lopezja01,C
abbotji01,P,,,,,avilabo01,2B
abbotji02,OF,,,,,foutsda01,
abbotku01,SS,,,,,youkike01,
abbotky01,P,,,,,acunaro01,OF
abbotod01,OF,,,,,joesm01,
abbotpa01,P,,,,,joebu01,
abelmi01,P,,,,,boxic01,
aberal01,P,,,,,hernali01,P
abercda01,SS,,,,,cuppyge01,
abercre01,OF,,,,,crowdge01,
abernbi01,P,,,,,vazquja01,P
abernbr01,2B,,,,,martide01,P
abernro01,OF,,,,,sanchan01,P
abernte01,P,,,,,colonba01,P
abernte02,P,,,,,garcifr02,P
abernwo01,P,,,,,hernafe01,P
aberscl01,OF,,,,,keppiji01,
ablesha01,P,,,,,aaronha01,OF
abnerph01,P,,,,,perezto01,1B
abnersh01,OF,,,,,rodríiv01,
abramca01,OF,,,,,weepe01,
abramcj01,SS,,,,,o'rouji01,
abramge01,P,,,,,martíed01,
abregjo01,P,,,,,miñosmi01,
abreual01,P,,,,,runho01,
abreubo01,OF,,,,,papaco01,
abreubr01,P,,,,,steartu01,
abreueu01,C,,,,,charlos01,
abreujo01,3B,,,,,suttlmu01,
abreujo02,1B,,,,,wilsoju01,
abreuju01,P,,,,,hossol01,
abreuto01,2B,,,,,leonabu01,
abreuwi01,P,,,,,gibsojo01,
abreuwi02,OF,,,,,roganbu01,
abstebi01,1B,,,,,alexagr01,
accarje01,P,,,,,breitth01,
acea01,OF,,,,,fostebi01,
aceveal01,P,,,,,martípe01,
acevedo01,P,,,,,surhob.01,
acevejo01,P,,,,,vange01,
aceveju01,P,,,,,o'neipa01,
achteaj01,P,,,,,martij.01,
ackerji01,P,,,,,hardyj.01,
ackerto01,P,,,,,dollba01,
ackledu01,2B,,,,,realmj.01,
acklefr01,P,,,,,samsa01,
acostcy01,P,,,,,burnea.01,
acosted01,P,,,,,,
acostjo01,P,,,,,,
acostma01,P,,,,,,
acostma02,3B,,,,,,
acostme01,OF,,,,,,
acrema01,P,,,,,,
actonga01,P,,,,,,
acunalu01,2B,,,,,,
acunaro01,OF,,,,,,
adairje01,2B,,,,,,
adairji01,SS,,,,,,
adamecr01,SS,,,,,,
adamewi01,SS,,,,,,
adamja01,P,,,,,,
adams01,C,,,,,,
adamsac01,P,,,,,,
adamsau01,P,,,,,,
adamsau02,P,,,,,,
adamsba01,P,,,,,,
adamsbe01,C,,,,,,
adamsbo01,P,,,,,,
adamsbo02,P,,,,,,
adamsbo03,3B,,,,,,
adamsbo04,1B,,,,,,
adamsbu01,OF,,,,,,
adamsch01,P,,,,,,
adamsda01,P,,,,,,
adamsda02,3B,,,,,,
adamsdi01,1B,,,,,,
adamsdo01,C,,,,,,
adamsem01,P,,,,,,
adamsge01,1B,,,,,,
adamsgl01,OF,,,,,,
adamshe01,OF,,,,,,
adamsji01,C,,,,,,
adamsjo01,P,,,,,,
adamsjo02,P,,,,,,
adamsjo03,OF,,,,,,
adamska01,P,,,,,,
adamsla01,OF,,,,,,
adamsma01,1B,,,,,,
adamsmi01,P,,,,,,
adamsmi02,OF,,,,,,
adamsmi03,P,,,,,,
adamspa01,SS,,,,,,
adamsre01,P,,,,,,
adamsri01,P,,,,,,
adamsri02,SS,,,,,,
adamsri03,C,,,,,,
adamsru01,SS,,,,,,
adamsry01,2B,,,,,,
adamssp01,2B,,,,,,
adamssp02,2B,,,,,,
adamste01,P,,,,,,
adamstr01,P,,,,,,
adamswi01,P,,,,,,
adamswi02,P,,,,,,
adcocjo01,1B,,,,,,
adcocna01,P,,,,,,
adcocty01,P,,,,,,
addisbo01,OF,,,,,,
addiske01,OF,,,,,,
addisto01,SS,,,,,,
adducji01,OF,,,,,,
adducji02,OF,,,,,,
addybo01,OF,,,,,,
adelljo01,OF,,,,,,
adenhni01,P,,,,,,
aderhmo01,OF,,,,,,
adkinde01,P,,,,,,
adkindi01,SS,,,,,,
adkindo01,P,,,,,,
adkingr01,P,,,,,,
adkinhe01,OF,,,,,,
adkinjo01,P,,,,,,
adkinst01,P,,,,,,
adlemti01,P,,,,,,
adlesda01,C,,,,,,
adonjo01,P,,,,,,
adriaeh01,SS,,,,,,
afenitr01,C,,,,,,
affelje01,P,,,,,,
agbaybe01,OF,,,,,,
ageeto01,OF,,,,,,
agganha01,1B,,,,,,
aglerjo01,1B,,,,,,
agnewsa01,C,,,,,,
agnosza01,P,,,,,,
agostju01,P,,,,,,
agrazda01,P,,,,,,
aguaylu01,SS,,,,,,
aguiaju01,P,,,,,,
aguilch01,OF,,,,,,
aguilje01,1B,,,,,,
aguilmi01,P,,,,,,
aguilri01,P,,,,,,
aguilry01,OF,,,,,,
aguirha01,P,,,,,,
ahearch01,C,,,,,,
ahearpa01,P,,,,,,
ahmedni01,SS,,,,,,
aikenwi01,1B,,,,,,
aingeda01,2B,,,,,,
ainsmed01,C,,,,,,
ainswku01,P,,,,,,
aitchra01,P,,,,,,
aitonge01,OF,,,,,,
akejo01,3B,,,,,,
akerfda01,P,,,,,,
akerja01,P,,,,,,
akersbi01,SS,,,,,,
akersje01,P,,,,,,
akinke01,P,,,,,,
akiyash01,OF,,,,,,
alanirj01,P,,,,,,
albagi01,P,,,,,,
albaljo01,P,,,,,,
albanjo01,P,,,,,,
alberan01,P,,,,,,
albercy01,P,,,,,,
albergu01,3B,,,,,,
alberha01,2B,,,,,,
alberjo01,P,,,,,,
alberjo02,3B,,,,,,
alberma01,P,,,,,,
albieoz01,2B,,,,,,
albosed01,P,,,,,,
albreed01,P,,,,,,
albrial01,P,,,,,,
albrija01,SS,,,,,,
albrith01,P,,,,,,
albural01,P,,,,,,
alburvi01,P,,,,,,
alcaljo01,P,,,,,,
alcalsa01,P,,,,,,
alcanar01,OF,,,,,,
alcanis01,OF,,,,,,
alcanke01,OF,,,,,,
alcanra01,P,,,,,,
alcansa01,P,,,,,,
alcanse01,SS,,,,,,
alcanvi01,P,,,,,,
alcarlu01,2B,,,,,,
alcocsc01,3B,,,,,,
aldegsa01,P,,,,,,
alderda01,P,,,,,,
aldremi01,OF,,,,,,
aldresc01,P,,,,,,
aldrico01,OF,,,,,,
aldrija01,P,,,,,,
aldrivi01,P,,,,,,
alenoch01,3B,,,,,,
alexabl01,3B,,,,,,
alexabo01,P,,,,,,
alexabu01,P,,,,,,
alexach01,OF,,,,,,
