Name,Inducted,Yrs,From,To,ASG,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,POS,PITCH,MLB,NL,MLB/NL
Cy Young,1937,22,1890,1911,0,165.55,511,315,0.619,2.63,906,815,84,749,76,18,7356,7092,3167,2147,138,1217,,2803,161,3,156,29565,0,1,1,0,0
Walter Johnson,1936,21,1907,1927,0,155.08,417,279,0.599,2.17,802,666,127,531,110,34,5914.1,4913,1902,1424,97,1363,,3509,205,4,154,23415,0,1,1,0,0
Kid Nichols,1949,15,1890,1906,0,116.71,362,208,0.635,2.96,621,562,56,532,48,16,5067.1,4929,2480,1664,156,1272,,1881,129,1,169,21099,0,1,1,0,0
Grover Alexander,1938,20,1911,1930,0,116.64,373,208,0.642,2.56,696,600,81,436,90,32,5190,4868,1852,1476,165,951,8,2198,70,1,38,20893,0,1,1,0,0
Lefty Grove,1947,17,1925,1941,6,113.24,300,141,0.68,3.06,616,457,123,298,35,54,3940.2,3849,1594,1339,162,1187,24,2266,42,1,51,16622,0,1,1,0,0
Tom Seaver,1992,20,1967,1986,12,106.07,311,205,0.603,2.86,656,647,6,231,61,1,4783,3971,1674,1521,380,1390,116,3640,76,8,126,19369,0,1,1,0,0
Greg Maddux,2014,23,1986,2008,8,104.79,355,227,0.61,3.16,744,740,3,109,35,0,5008.1,4726,1981,1756,353,999,177,3371,137,28,70,20421,0,1,1,0,0
Randy Johnson,2015,22,1988,2009,10,103.53,303,166,0.646,3.29,618,603,7,100,37,2,4135.1,3346,1703,1513,411,1497,37,4875,190,33,109,17067,0,1,1,0,0
Christy Mathewson,1936,17,1900,1916,0,100.47,373,188,0.665,2.13,636,552,73,435,79,30,4788.2,4219,1620,1135,89,848,,2507,59,8,115,18929,0,1,1,0,0
Phil Niekro,1997,24,1964,1987,5,96.97,318,274,0.537,3.35,864,716,83,245,45,29,5404,5044,2337,2012,482,1809,86,3342,123,42,226,22677,0,1,1,0,0
Bert Blyleven,2011,22,1970,1992,2,96.09,287,250,0.534,3.31,692,685,3,242,60,0,4970,4632,2029,1830,430,1322,71,3701,155,19,114,20491,0,1,1,0,0
Gaylord Perry,1991,22,1962,1983,5,93.02,314,265,0.542,3.11,777,690,33,303,53,10,5350,4938,2128,1846,399,1379,164,3534,108,6,160,21953,0,1,1,0,0
Warren Spahn,1973,21,1942,1965,17,92.55,363,245,0.597,3.09,750,665,67,382,63,28,5243.2,4830,2016,1798,434,1434,112,2583,42,5,81,21547,0,1,1,0,0
Tim Keefe,1964,14,1880,1893,0,89.14,342,225,0.603,2.63,600,594,7,554,39,2,5049.2,4438,2470,1474,75,1233,,2564,98,0,240,20941,0,1,1,0,0
Eddie Plank,1946,17,1901,1917,0,87.97,326,194,0.627,2.35,623,529,77,410,69,23,4495.2,3958,1566,1174,42,1072,,2246,190,6,88,17814,0,1,1,0,0
Pedro Martínez,2015,18,1992,2009,8,86.08,219,100,0.687,2.93,476,409,23,46,17,3,2827.1,2221,1006,919,239,760,30,3154,141,6,62,11394,0,1,1,0,0
John Clarkson,1963,12,1882,1894,0,84.98,328,178,0.648,2.81,531,518,12,485,37,5,4536.1,4295,2384,1417,159,1191,,1978,80,0,182,19146,0,1,1,0,0
Steve Carlton,1994,24,1965,1988,10,84.13,329,244,0.574,3.22,741,709,13,254,55,2,5217.2,4672,2130,1864,414,1833,150,4136,53,90,183,21683,0,1,1,0,0
Nolan Ryan,1999,27,1966,1993,8,83.6,324,292,0.526,3.19,807,773,13,222,61,3,5386,3923,2178,1911,321,2795,78,5714,158,33,277,22575,0,1,1,0,0
Pud Galvin,1965,15,1875,1892,0,83.25,365,310,0.541,2.85,705,688,19,646,57,2,6003.1,6405,3352,1903,121,745,,1807,61,2,221,25415,0,1,1,0,0
Robin Roberts,1976,19,1948,1966,7,83.06,286,245,0.539,3.41,676,609,49,305,45,25,4688.2,4582,1962,1774,505,902,109,2357,54,3,33,19174,0,1,1,0,0
Mike Mussina,2019,18,1991,2008,5,82.78,270,153,0.638,3.68,537,536,0,57,23,0,3562.2,3460,1559,1458,376,785,29,2813,60,1,71,14593,0,1,1,0,0
Fergie Jenkins,1991,19,1965,1983,3,82.16,284,226,0.557,3.34,664,594,37,267,49,7,4500.2,4142,1853,1669,484,997,116,3192,84,18,62,18400,0,1,1,0,0
Bob Gibson,1981,17,1959,1975,9,81.66,251,174,0.591,2.91,528,482,21,255,56,6,3884.1,3279,1420,1258,257,1336,118,3117,102,13,108,16068,0,1,1,0,0
Tom Glavine,2014,22,1987,2008,10,73.96,305,203,0.6,3.54,682,682,0,56,25,0,4413.1,4298,1900,1734,356,1500,145,2607,66,7,65,18604,0,1,1,0,0
Old Hoss Radbourn,1939,12,1880,1891,0,73.2,310,194,0.615,2.68,527,502,24,488,35,2,4527.1,4328,2273,1347,118,875,,1830,54,0,214,18918,0,1,1,0,0
Carl Hubbell,1947,16,1928,1943,9,68.83,253,154,0.622,2.98,535,433,82,260,36,33,3590.1,3461,1380,1188,227,725,68,1677,53,1,53,14805,0,1,1,0,0
Don Sutton,1998,23,1966,1988,4,68.28,324,256,0.559,3.26,774,756,12,178,58,5,5282.1,4692,2104,1914,472,1343,102,3574,82,21,112,21631,0,1,1,0,0
Jim Palmer,1990,19,1965,1984,6,67.55,268,152,0.638,2.86,558,521,15,211,53,4,3948,3349,1395,1253,303,1311,37,2212,38,11,85,16114,0,1,1,0,0
Red Faber,1964,20,1914,1933,0,67.39,254,213,0.544,3.15,669,483,134,273,29,27,4086.2,4106,1813,1430,111,1213,10,1471,103,2,52,17104,0,1,1,0,0
Vic Willis,1995,13,1898,1910,0,67,249,205,0.548,2.63,513,471,41,388,50,11,3996,3621,1620,1167,66,1212,,1651,156,6,94,16279,0,1,1,0,0
Stan Coveleski,1969,14,1912,1928,0,66.91,215,142,0.602,2.89,450,385,52,223,38,21,3082,3055,1227,990,66,802,0,981,30,1,35,12729,0,1,1,0,0
Ted Lyons,1955,21,1923,1946,1,66.77,260,230,0.531,3.67,594,484,91,356,27,25,4161,4489,2056,1696,222,1121,49,1073,31,6,55,17797,0,1,1,0,0
John Smoltz,2015,21,1988,2009,8,66.4,213,155,0.579,3.33,723,481,204,53,16,154,3473,3074,1391,1284,288,1010,84,3084,57,16,145,14271,0,1,1,0,0
Roy Halladay,2019,16,1998,2013,8,65.38,203,105,0.659,3.38,416,390,6,67,20,1,2749.1,2646,1135,1034,236,592,28,2117,81,9,56,11287,0,1,1,0,0
Amos Rusie,1977,10,1889,1901,0,65.21,246,174,0.586,3.07,463,427,35,393,30,5,3778.2,3389,2068,1288,75,1707,,1950,112,1,153,16313,0,1,1,0,0
Bob Feller,1962,18,1936,1956,8,65.2,266,162,0.621,3.25,570,484,52,279,44,22,3827,3271,1557,1384,224,1764,89,2581,60,13,69,16180,0,1,1,0,0
Ed Walsh,1946,14,1904,1917,0,64.42,195,126,0.607,1.82,430,315,105,250,57,35,2964.1,2346,873,598,23,617,,1736,52,9,76,11411,0,1,1,0,0
Mickey Welch,1973,13,1880,1892,0,63.11,307,210,0.594,2.71,565,549,16,525,41,4,4802,4588,2556,1447,106,1297,,1850,52,1,274,20308,0,1,1,0,0
Dazzy Vance,1955,16,1915,1935,0,62.94,197,140,0.585,3.24,442,349,52,217,29,12,2966.2,2809,1246,1068,132,840,29,2045,77,2,37,12366,0,1,1,0,0
Dennis Eckersley,2004,24,1975,1998,6,62.23,197,171,0.535,3.5,1071,361,577,100,20,390,3285.2,3076,1382,1278,347,738,91,2401,75,16,28,13534,0,1,1,0,0
