Name,playerID,Unnamed: 0,W,L,ERA,G,GS,GF,CG,SHO,SV,IPouts,H,R,ER,HR,BB,IBB,SO,HBP,BK,IP,WLpercentage
Tony Mullane,mullato01,7689.0,284.0,220.0,55.14,555.0,504.0,52.0,468.0,30.0,15.0,13594.0,4195.0,2523.0,1537.0,97.0,1408.0,0.0,1803.0,185.0,3.0,4531.33333333333,0.563492063492063
Bob Caruthers,carutbo01,1731.0,218.0,99.0,27.87,340.0,310.0,29.0,298.0,24.0,3.0,8486.0,2678.0,1393.0,891.0,59.0,597.0,0.0,900.0,99.0,0.0,2828.66666666667,0.687697160883281
Charlie Buffinton,buffich01,1389.0,233.0,152.0,36.81,414.0,396.0,17.0,351.0,30.0,3.0,10212.0,3344.0,1824.0,1120.0,87.0,856.0,0.0,1700.0,31.0,2.0,3404.0,0.605194805194805
Bucky Walters,waltebu01,11385.0,198.0,160.0,59.71,428.0,398.0,18.0,242.0,42.0,4.0,9314.0,2990.0,1343.0,1139.0,154.0,1121.0,0.0,1107.0,51.0,6.0,3104.66666666667,0.553072625698324
Jack Stivetts,stiveja01,10454.0,203.0,132.0,47.05,388.0,333.0,52.0,278.0,14.0,5.0,8663.0,2905.0,1836.0,1199.0,130.0,1155.0,0.0,1223.0,99.0,0.0,2887.66666666667,0.605970149253731
Jim McCormic,mccorji01,6997.0,265.0,214.0,29.0,492.0,485.0,7.0,466.0,33.0,1.0,12827.0,4092.0,2095.0,1155.0,82.0,749.0,0.0,1704.0,12.0,0.0,4275.66666666667,0.553235908141962
Tommy Bond,bondto01,987.0,234.0,163.0,31.21,417.0,408.0,13.0,386.0,42.0,0.0,10886.0,3765.0,1931.0,862.0,50.0,193.0,0.0,972.0,2.0,0.0,3628.66666666667,0.589420654911839
Jack Powell,powelja01,8731.0,245.0,255.0,48.69,578.0,516.0,57.0,422.0,46.0,15.0,13167.0,4319.0,1991.0,1450.0,110.0,1021.0,0.0,1621.0,120.0,2.0,4389.0,0.49
George Mullin,mullige01,7694.0,228.0,196.0,47.32,487.0,428.0,51.0,353.0,35.0,8.0,11060.0,3518.0,1636.0,1156.0,42.0,1238.0,0.0,1482.0,130.0,1.0,3686.66666666667,0.537735849056604
Jesse Tannehill,tanneje01,10680.0,197.0,117.0,54.62,359.0,321.0,37.0,264.0,34.0,7.0,8278.0,2794.0,1199.0,858.0,40.0,478.0,0.0,944.0,130.0,1.0,2759.33333333333,0.627388535031847
Will White,whitewi01,11632.0,229.0,166.0,28.55,403.0,402.0,1.0,394.0,36.0,0.0,10628.0,3440.0,1844.0,896.0,65.0,496.0,0.0,1041.0,68.0,0.0,3542.66666666667,0.579746835443038
Doc White,whitedo01,11606.0,189.0,156.0,31.82,427.0,363.0,52.0,262.0,45.0,5.0,9123.0,2738.0,1118.0,808.0,33.0,670.0,0.0,1384.0,119.0,7.0,3041.0,0.547826086956522
Jack Quinn,quinnja01,8825.0,247.0,218.0,81.05,756.0,444.0,216.0,243.0,28.0,57.0,11761.0,4238.0,1835.0,1433.0,102.0,860.0,0.0,1329.0,94.0,5.0,3920.33333333333,0.531182795698925
Silver King,kingsi01,5785.0,203.0,152.0,44.89,397.0,370.0,25.0,328.0,19.0,6.0,9542.0,3098.0,1803.0,1124.0,69.0,967.0,0.0,1222.0,146.0,0.0,3180.66666666667,0.571830985915493
Wilbur Cooper,coopewi01,2172.0,216.0,178.0,54.96,517.0,408.0,84.0,279.0,35.0,14.0,10440.0,3415.0,1406.0,1119.0,103.0,853.0,0.0,1252.0,100.0,0.0,3480.0,0.548223350253807
Billy Pierce,piercbi01,8585.0,27.0,43.0,24.49,116.0,70.0,30.0,28.0,2.0,0.0,1832.0,676.0,362.0,289.0,16.0,268.0,0.0,165.0,43.0,1.0,610.666666666667,0.385714285714286
Carl Mays,maysca01,6912.0,207.0,126.0,50.28,490.0,325.0,125.0,231.0,29.0,31.0,9064.0,2912.0,1211.0,979.0,73.0,734.0,0.0,862.0,89.0,1.0,3021.33333333333,0.621621621621622
Larry French,frencla01,3626.0,197.0,171.0,52.46,570.0,384.0,109.0,198.0,40.0,17.0,9456.0,3375.0,1440.0,1206.0,164.0,819.0,0.0,1187.0,42.0,4.0,3152.0,0.535326086956522
Dolf Luque,luquedo01,6515.0,194.0,179.0,65.19,550.0,365.0,128.0,206.0,26.0,28.0,9661.0,3231.0,1412.0,1161.0,113.0,918.0,0.0,1130.0,26.0,5.0,3220.33333333333,0.520107238605898
Dutch Leonard,leonadu01,6231.0,139.0,113.0,32.88,331.0,272.0,47.0,152.0,33.0,13.0,6576.0,2022.0,853.0,672.0,54.0,664.0,0.0,1160.0,68.0,3.0,2192.0,0.551587301587302
Tommy Bridges,bridgto01,1207.0,194.0,138.0,59.53,424.0,362.0,47.0,200.0,33.0,10.0,8479.0,2675.0,1321.0,1122.0,181.0,1192.0,0.0,1674.0,35.0,8.0,2826.33333333333,0.58433734939759
Bret Saberhagen,saberbr01,9503.0,167.0,117.0,64.81,399.0,371.0,13.0,76.0,16.0,1.0,7688.0,2452.0,1036.0,952.0,218.0,471.0,34.0,1715.0,59.0,12.0,2562.66666666667,0.588028169014085
Pete Rose,rosepe01,,,,,,,,,,,,,,,,,,,,,,
Buddy Bell,bellbu01,,,,,,,,,,,,,,,,,,,,,,
Sammy Sosa,sosasa01,,,,,,,,,,,,,,,,,,,,,,
Robinson Canó,canoro01,,,,,,,,,,,,,,,,,,,,,,
Eddie Yost,yosted01,,,,,,,,,,,,,,,,,,,,,,
Jimmy Ryan,ryanji01,9483.0,6.0,1.0,13.47,24.0,5.0,16.0,3.0,0.0,2.0,351.0,133.0,85.0,47.0,8.0,44.0,0.0,43.0,6.0,1.0,117.0,0.857142857142857
Édgar Rentería,renteed01,,,,,,,,,,,,,,,,,,,,,,
George Van Haltren,vanhage01,11143.0,40.0,31.0,43.8,93.0,68.0,23.0,65.0,5.0,4.0,2068.0,809.0,527.0,310.0,34.0,244.0,0.0,281.0,57.0,1.0,689.333333333333,0.563380281690141
Aramis Ramírez,ramirar01,,,,,,,,,,,,,,,,,,,,,,
José Cruz,cruzjo01,,,,,,,,,,,,,,,,,,,,,,
Tony Fernández,fernato01,,,,,,,,,,,,,,,,,,,,,,
Carlos Lee,leeca01,,,,,,,,,,,,,,,,,,,,,,
Donie Bush,bushdo01,,,,,,,,,,,,,,,,,,,,,,
Jay Bell,bellja01,,,,,,,,,,,,,,,,,,,,,,
Herman Long,longhe01,,,,,,,,,,,,,,,,,,,,,,
Stan Hack,hackst01,,,,,,,,,,,,,,,,,,,,,,
Nelson Cruz,cruzne01,2350.0,15.0,23.0,31.07,204.0,18.0,55.0,0.0,0.0,2.0,1045.0,369.0,205.0,195.0,59.0,109.0,15.0,277.0,24.0,1.0,348.333333333333,0.394736842105263
Ron Cey,ceyro01,,,,,,,,,,,,,,,,,,,,,,
Amos Otis,otisam01,,,,,,,,,,,,,,,,,,,,,,
Bobby Grich,grichbo01,,,,,,,,,,,,,,,,,,,,,,
Buddy Myer,myerbu01,,,,,,,,,,,,,,,,,,,,,,
Víctor Martínez,martivi01,,,,,,,,,,,,,,,,,,,,,,
César Cedeño,cedence01,,,,,,,,,,,,,,,,,,,,,,
Adrián González,gonzaad01,,,,,,,,,,,,,,,,,,,,,,
Jim Wynn,wynnji01,,,,,,,,,,,,,,,,,,,,,,
Derrek Lee,leede01,,,,,,,,,,,,,,,,,,,,,,
Fred Lynn,lynnfr01,,,,,,,,,,,,,,,,,,,,,,
Norm Cash,cashno01,,,,,,,,,,,,,,,,,,,,,,
Moisés Alou,aloumo01,,,,,,,,,,,,,,,,,,,,,,
Felipe Alou,aloufe01,,,,,,,,,,,,,,,,,,,,,,
Wally Pipp,pippwa01,,,,,,,,,,,,,,,,,,,,,,
Al Dark,darkal01,2462.0,0.0,0.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,
Magglio Ordóñez,ordonma01,,,,,,,,,,,,,,,,,,,,,,
Ron Gant,gantro01,,,,,,,,,,,,,,,,,,,,,,
Lu Blue,bluelu01,,,,,,,,,,,,,,,,,,,,,,
Giancarlo Stanton,stantmi01,10362.0,13.0,22.0,42.65,277.0,3.0,131.0,0.0,0.0,31.0,1153.0,398.0,218.0,197.0,27.0,182.0,20.0,304.0,9.0,5.0,384.333333333333,0.371428571428571
Shin-Soo Choo,choosh01,,,,,,,,,,,,,,,,,,,,,,
Juan González,gonzaju01,4049.0,0.0,0.0,4.72,13.0,0.0,4.0,0.0,0.0,0.0,103.0,33.0,20.0,18.0,3.0,27.0,0.0,5.0,1.0,0.0,34.3333333333333,
Hanley Ramírez,ramirha01,,,,,,,,,,,,,,,,,,,,,,
Heinie Groh,grohhe01,,,,,,,,,,,,,,,,,,,,,,
Sam West,westsa01,,,,,,,,,,,,,,,,,,,,,,
Willie Kamm,kammwi01,,,,,,,,,,,,,,,,,,,,,,
José Ramírez,ramirjo01,,,,,,,,,,,,,,,,,,,,,,
Billy Nash,nashbi01,7808.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.33333333333333,
Rudy York,yorkru01,,,,,,,,,,,,,,,,,,,,,,
Andy Van Slyke,vanslan01,,,,,,,,,,,,,,,,,,,,,,
Lonny Frey,freylo01,,,,,,,,,,,,,,,,,,,,,,
César Tovar,tovarce01,10964.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,
Ron Hunt,huntro01,,,,,,,,,,,,,,,,,,,,,,
Melvin Mora,morame01,,,,,,,,,,,,,,,,,,,,,,
J.D. Drew,drewjd01,,,,,,,,,,,,,,,,,,,,,,
George Gore,gorege01,,,,,,,,,,,,,,,,,,,,,,
Elmer Valo,valoel01,,,,,,,,,,,,,,,,,,,,,,
Denard Span,spande01,,,,,,,,,,,,,,,,,,,,,,
Javy López,lopezja01,,,,,,,,,,,,,,,,,,,,,,
Brandon Belt,beltbr01,,,,,,,,,,,,,,,,,,,,,,
Terry Puhl,puhlte01,,,,,,,,,,,,,,,,,,,,,,
Bobby Ávila,avilabo01,,,,,,,,,,,,,,,,,,,,,,
Dave Foutz,foutzda01,3562.0,147.0,66.0,47.23,251.0,216.0,33.0,202.0,16.0,4.0,5992.0,1843.0,1068.0,631.0,38.0,510.0,0.0,790.0,58.0,0.0,1997.33333333333,0.690140845070423
Juan Soto,sotoju01,,,,,,,,,,,,,,,,,,,,,,
Lorenzo Cain,cainlo01,,,,,,,,,,,,,,,,,,,,,,
Jack Rowe,roweja01,,,,,,,,,,,,,,,,,,,,,,
Kevin Youkilis,youklke01,,,,,,,,,,,,,,,,,,,,,,
Ronald Acuña Jr.,acunaro01,,,,,,,,,,,,,,,,,,,,,,
Smoky Joe Wood,woodjo02,11921.0,117.0,57.0,42.53,225.0,158.0,57.0,121.0,28.0,11.0,4303.0,1138.0,497.0,324.0,10.0,421.0,0.0,989.0,49.0,0.0,1434.33333333333,0.672413793103448
Al Orth,orthal01,8121.0,204.0,189.0,63.46,440.0,394.0,44.0,324.0,31.0,6.0,10064.0,3564.0,1704.0,1256.0,75.0,661.0,0.0,948.0,83.0,1.0,3354.66666666667,0.519083969465649
George Uhle,uhlege01,11060.0,200.0,166.0,114.3,513.0,368.0,114.0,232.0,21.0,25.0,9359.0,3417.0,1635.0,1384.0,119.0,966.0,0.0,1135.0,113.0,5.0,3119.66666666667,0.546448087431694
Bullet Joe Bush,bushjo01,1501.0,195.0,183.0,89.99,489.0,366.0,93.0,225.0,35.0,20.0,9262.0,2992.0,1443.0,1205.0,96.0,1263.0,0.0,1319.0,62.0,1.0,3087.33333333333,0.515873015873016
Charlie Root,rootch01,9349.0,201.0,160.0,64.35,632.0,341.0,185.0,177.0,21.0,40.0,9592.0,3252.0,1467.0,1274.0,187.0,889.0,0.0,1459.0,79.0,3.0,3197.33333333333,0.556786703601108
Ice Box Chamberlain,chambel01,1829.0,157.0,120.0,50.1,321.0,301.0,19.0,264.0,16.0,1.0,7565.0,2446.0,1560.0,999.0,63.0,1065.0,0.0,1133.0,113.0,0.0,2521.66666666667,0.566787003610108
Liván Hernández,hernali01,4786.0,178.0,177.0,100.31,519.0,474.0,17.0,50.0,9.0,1.0,9567.0,3525.0,1686.0,1572.0,362.0,1066.0,86.0,1976.0,78.0,13.0,3189.0,0.501408450704225
Bill Lee,leebi01,,,,,,,,,,,,,,,,,,,,,,
George Cuppy,cuppyni01,2392.0,163.0,98.0,35.08,302.0,262.0,39.0,224.0,9.0,5.0,6849.0,2520.0,1346.0,884.0,62.0,609.0,0.0,504.0,69.0,2.0,2283.0,0.624521072796935
Art Nehf,nehfar01,7833.0,184.0,120.0,65.55,451.0,319.0,84.0,182.0,28.0,13.0,8123.0,2715.0,1164.0,964.0,107.0,640.0,0.0,844.0,40.0,3.0,2707.66666666667,0.605263157894737
Tommy John,johnto01,5472.0,288.0,231.0,97.69,760.0,700.0,22.0,162.0,46.0,4.0,14131.0,4783.0,2017.0,1749.0,302.0,1259.0,102.0,2245.0,98.0,16.0,4710.33333333333,0.554913294797688
Schoolboy Rowe,rowesc01,9410.0,158.0,101.0,63.05,382.0,278.0,74.0,137.0,22.0,12.0,6658.0,2332.0,1075.0,955.0,132.0,558.0,0.0,913.0,27.0,5.0,2219.33333333333,0.61003861003861
Vern Law,lawve01,6138.0,162.0,147.0,63.51,483.0,364.0,77.0,119.0,28.0,13.0,8016.0,2833.0,1274.0,1118.0,268.0,597.0,74.0,1092.0,40.0,3.0,2672.0,0.524271844660194
General Crowder,crowdal01,2332.0,167.0,115.0,64.19,402.0,292.0,71.0,150.0,16.0,22.0,7033.0,2453.0,1204.0,1072.0,136.0,800.0,0.0,799.0,16.0,3.0,2344.33333333333,0.592198581560284
Thornton Lee,leeth01,6190.0,117.0,124.0,60.55,374.0,272.0,50.0,155.0,14.0,10.0,6994.0,2327.0,1105.0,921.0,121.0,838.0,0.0,937.0,43.0,7.0,2331.33333333333,0.485477178423237
Bill Byrd,byrdbi01,1528.0,101.0,68.0,59.89,210.0,156.0,41.0,118.0,10.0,11.0,4124.0,1394.0,672.0,539.0,43.0,290.0,3.0,741.0,27.0,0.0,1374.66666666667,0.597633136094675
Bob Rush,rushbo01,9457.0,127.0,152.0,53.28,417.0,321.0,44.0,118.0,16.0,8.0,7232.0,2327.0,1128.0,977.0,177.0,789.0,31.0,1244.0,34.0,1.0,2410.66666666667,0.455197132616487
Johnny Sain,sainjo01,9517.0,139.0,116.0,51.14,412.0,245.0,124.0,140.0,16.0,51.0,6377.0,2145.0,947.0,824.0,180.0,619.0,4.0,910.0,30.0,8.0,2125.66666666667,0.545098039215686
Frank Lary,laryfr01,6102.0,128.0,116.0,57.85,350.0,292.0,30.0,126.0,21.0,11.0,6487.0,2123.0,960.0,838.0,197.0,616.0,35.0,1099.0,97.0,7.0,2162.33333333333,0.524590163934426
Noodles Hahn,hahnno01,4358.0,130.0,94.0,21.68,243.0,231.0,11.0,212.0,25.0,0.0,6088.0,1916.0,821.0,574.0,27.0,381.0,0.0,917.0,52.0,1.0,2029.33333333333,0.580357142857143
Rick Wise,wiseri01,11867.0,188.0,181.0,72.96,506.0,455.0,15.0,138.0,30.0,0.0,9381.0,3227.0,1455.0,1281.0,261.0,804.0,83.0,1647.0,44.0,9.0,3127.0,0.509485094850949
William Bell,bellwi01,728.0,123.0,56.0,66.6,232.0,167.0,38.0,127.0,12.0,10.0,4638.0,1499.0,703.0,574.0,41.0,344.0,0.0,685.0,31.0,1.0,1546.0,0.687150837988827
Preacher Roe,roepr01,9279.0,127.0,84.0,54.11,333.0,261.0,42.0,101.0,17.0,10.0,5743.0,1907.0,799.0,730.0,199.0,504.0,0.0,956.0,17.0,1.0,1914.33333333333,0.601895734597156
Matt Cain,cainma01,1558.0,104.0,118.0,50.63,342.0,331.0,4.0,15.0,6.0,0.0,6257.0,1849.0,910.0,853.0,211.0,712.0,42.0,1694.0,62.0,4.0,2085.66666666667,0.468468468468468
Javier Vázquez,vazquja01,11181.0,165.0,160.0,60.14,450.0,443.0,5.0,28.0,8.0,0.0,8520.0,2784.0,1431.0,1331.0,373.0,763.0,58.0,2536.0,88.0,4.0,2840.0,0.507692307692308
Vida Blue,bluevi01,942.0,209.0,161.0,59.82,502.0,473.0,11.0,143.0,37.0,2.0,10030.0,2939.0,1357.0,1213.0,263.0,1185.0,61.0,2175.0,23.0,13.0,3343.33333333333,0.564864864864865
Dennis Martínez,martide01,6771.0,245.0,193.0,96.54,692.0,562.0,51.0,122.0,30.0,8.0,11999.0,3897.0,1835.0,1643.0,372.0,1165.0,71.0,2149.0,122.0,30.0,3999.66666666667,0.559360730593607
Jim Barr,barrji01,559.0,101.0,112.0,44.26,454.0,252.0,75.0,64.0,20.0,12.0,6196.0,2170.0,908.0,816.0,161.0,469.0,74.0,741.0,30.0,14.0,2065.33333333333,0.474178403755869
Russ Ford,fordru01,3522.0,99.0,71.0,25.47,199.0,170.0,28.0,126.0,15.0,9.0,4462.0,1340.0,602.0,428.0,44.0,376.0,0.0,710.0,34.0,3.0,1487.33333333333,0.582352941176471
Derek Lowe,lowede01,6468.0,176.0,157.0,81.19,681.0,377.0,168.0,10.0,4.0,86.0,8014.0,2759.0,1333.0,1195.0,217.0,794.0,67.0,1722.0,78.0,13.0,2671.33333333333,0.528528528528528
José Rijo,rijojo01,9126.0,116.0,91.0,48.83,376.0,269.0,43.0,22.0,4.0,3.0,5640.0,1710.0,772.0,676.0,147.0,663.0,34.0,1606.0,28.0,28.0,1880.0,0.560386473429952
David Cone,coneda01,2107.0,194.0,126.0,70.84,450.0,419.0,9.0,56.0,22.0,1.0,8696.0,2504.0,1222.0,1115.0,258.0,1137.0,42.0,2668.0,106.0,32.0,2898.66666666667,0.60625
Brandon Webb,webbbr01,11482.0,87.0,62.0,32.88,199.0,198.0,1.0,15.0,8.0,0.0,3959.0,1200.0,557.0,479.0,92.0,435.0,34.0,1065.0,50.0,6.0,1319.66666666667,0.583892617449664
Barry Zito,zitoba01,12123.0,165.0,143.0,68.34,433.0,421.0,9.0,12.0,5.0,0.0,7730.0,2381.0,1254.0,1157.0,282.0,1064.0,52.0,1885.0,97.0,8.0,2576.66666666667,0.535714285714286
